,Unnamed: 0,Unnamed: 0.1,Entity,Code,Year,Historical Index of Human Development (including GDP metric) ((0-1; higher values are better)),Historical Index of Human Development (without GDP metric) ((0-1; highest is best)),Total population (Gapminder)
148,148,18732,Togo,TGO,2015,0.27,0.24,
149,149,18994,Trinidad and Tobago,TTO,2015,0.54,0.42,
150,150,19071,Tunisia,TUN,2015,0.48,0.4,
151,151,19171,Turkey,TUR,2015,0.55,0.47,
152,152,19456,Uganda,UGA,2015,0.28,0.24,
153,153,19523,Ukraine,UKR,2015,0.56,0.55,
154,154,19592,United Arab Emirates,ARE,2015,0.59,0.51,
155,155,19793,United Kingdom,GBR,2015,0.76,0.71,
156,156,19990,United States,USA,2015,0.78,0.71,
157,157,20138,Uruguay,URY,2015,0.66,0.6,
158,158,20205,Uzbekistan,UZB,2015,0.51,0.43,
159,159,20419,Venezuela,VEN,2015,0.56,0.49,
160,160,20488,Vietnam,VNM,2015,0.48,0.43,
161,161,20561,Yemen,YEM,2015,0.3,0.24,
162,162,20640,Zambia,ZMB,2015,0.31,0.27,
163,163,20716,Zimbabwe,ZWE,2015,0.29,0.25,
